File Name,Shot Frame Rate,Resolution,Video Codec,Comments,Description,Start TC,End TC,Bit Depth,Camera Type,Camera Format,Camera FPS,Aspect Ratio Notes,Editorial or Commercial Use,
A031_C014_0915UA_001.R3D,23.976,5120 x 2160,r3d,giant-napoleon-wrasse-faceon-towards-camera,"A Napoleon wrasse, Cheilinus undulatus, swims toward and inspects the camera, Komodo National Park, Indonesia, Pacific Ocean",20:25:21:07,20:26:19:13,16,DSMC2 GEMINI 5K S35,REDcode 4:1,59.94,2.37,Commercial,Premium
A031_C020_09150A_001.R3D,23.976,5120 x 2160,r3d,grey-reef-shark-swims-to-surgeonfish-school,"A grey reef shark, Carcharhinus amblyrhynchos, swims toward a school of elongate surgeonfish, Acanthurus mata, and a giant trevally, Caranx ignobilis, before turning away, Komodo National Park, Indonesia, Pacific Ocean",20:32:41:20,20:33:54:11,16,DSMC2 GEMINI 5K S35,REDcode 4:1,59.94,2.37,Commercial,Premium
A031_C016_09153P_001.R3D,23.976,5120 x 2160,r3d,white-tip-reefshark-reveal-fusillier-background,"A white tip reef shark, Triaenodon obesus, swims in the water column surrounded by schools of fusiliers including Caesio xanthonota and Caesio teres, Komodo National Park, Indonesia, Pacific Ocean",20:27:03:17,20:27:37:07,16,DSMC2 GEMINI 5K S35,REDcode 4:1,59.94,2.37,Commercial,Premium
A031_C020_09150A_001.R3D,23.976,5120 x 2160,r3d,grey-reef-shark-sideview-right-to-left-rainbowrunners,"A grey reef shark, Carcharhinus amblyrhynchos, surrounded by a school of rainbow runners, Elagatis bipinnulata, who rub against the shark to remove parasites from their skin, with blue and yellow fusiliers, Caesio teres, in the background, Komodo National Park, Indonesia, Pacific Ocean",20:31:44:19,20:32:41:21,16,DSMC2 GEMINI 5K S35,REDcode 4:1,59.94,2.37,Commercial,Premium
A031_C022_0915ML_001.R3D,23.976,5120 x 2160,r3d,grey-reef-shark-slow-dive-down,"A grey reef shark, Carcharhinus amblyrhynchos, surrounded by a school of rainbow runners, Elagatis bipinnulata, who rub against the shark to remove parasites from their skin, with blue and yellow fusiliers, Caesio teres, in the background, the shark dives down after the rainbow runners annoy it, Komodo National Park, Indonesia, Pacific Ocean",20:34:12:07,20:34:52:06,16,DSMC2 GEMINI 5K S35,REDcode 4:1,59.94,2.37,Commercial,Premium
A031_C020_09150A_001.R3D,23.976,5120 x 2160,r3d,grey-reef-shark-rainbowrunners-wide-mid,"A grey reef shark, Carcharhinus amblyrhynchos, surrounded by a school of rainbow runners, Elagatis bipinnulata, who rub against the shark to remove parasites from their skin, with blue and yellow fusiliers, Caesio teres, in the background, Komodo National Park, Indonesia, Pacific Ocean",20:34:24:11,20:36:53:21,16,DSMC2 GEMINI 5K S35,REDcode 4:1,59.94,2.37,Commercial,Premium
A031_C023_0915M3_001.R3D,23.976,5120 x 2160,r3d,big-surgeonfish-school,"A large school of elongate surgeonfish, Acanthurus mata,with giant trevally, Caranx ignobilis, lurking behind, Komodo National Park, Indonesia, Pacific Ocean",20:35:34:13,20:36:37:02,16,DSMC2 GEMINI 5K S35,REDcode 4:1,59.94,2.37,Commercial,Premium
A031_C024_0915R9_001.R3D,23.976,5120 x 2160,r3d,wide-shot-surgeonfish-school-giant-trevally,"A large school of elongate surgeonfish, Acanthurus mata,with giant trevally, Caranx ignobilis, lurking behind, Komodo National Park, Indonesia, Pacific Ocean",20:37:02:01,20:38:20:23,16,DSMC2 GEMINI 5K S35,REDcode 4:1,59.94,2.37,Commercial,Premium
A031_C023_0915M3_001.R3D,23.976,5120 x 2160,r3d,giant-trevallies-swim-left-to-right-surgeonfish,"A large school of elongate surgeonfish, Acanthurus mata,with giant trevally, Caranx ignobilis, lurking behind, Komodo National Park, Indonesia, Pacific Ocean",20:36:56:08,20:37:43:13,16,DSMC2 GEMINI 5K S35,REDcode 4:1,59.94,2.37,Commercial,Premium
A032_C093_09177K_001.R3D,23.976,5120 x 2700,r3d,local-ladies-from-village-hut-front,"Two local women standing in front of a house in a village, Bontoh village, Sangeang Island, Sumbawa, Indonesia, No Model Release",00:43:20:13,00:43:34:14,16,DSMC2 GEMINI 5K S35,REDcode 8:1,96,1.09,Editorial,Standard
A032_C095_09179F_001.R3D,23.976,5120 x 2700,r3d,Local-woman-betelnut,"A village woman chewing betel nut, Bontoh village, Sangeang Island, Sumbawa, Indonesia, No Model Release",00:44:41:02,00:44:56:00,16,DSMC2 GEMINI 5K S35,REDcode 8:1,96,1.09,Editorial,Standard
A032_C094_09170N_001.R3D,23.976,5120 x 2700,r3d,wide-shot-ladies-villagers-front-of-huts-goat,"Pan left to right of two women standing in front of local homes with goats and chickens, Bontoh village, Sangeang Island, Sumbawa, Indonesia, No Model Release",00:43:43:03,00:43:55:14,16,DSMC2 GEMINI 5K S35,REDcode 8:1,96,1.09,Editorial,Standard
A032_C096_09179B_001.R3D,23.976,5120 x 2700,r3d,mid-shot-villager-smoking,"Smoking local man interacts with his daughter, Bontoh village, Sangeang island, Sumbawa, Indonesia, No Model Release",00:45:06:09,00:45:42:13,16,DSMC2 GEMINI 5K S35,REDcode 8:1,96,1.09,Editorial,Standard
A032_C097_0917QR_001.R3D,23.976,5120 x 2700,r3d,colorful-local-fabric-hanging-in-the-wind,"Close up of colourful sarongs hanging on a line flapping in the wind, Bontoh village, Sangeang island, Sumbawa, Indonesia, No Model Release",00:46:09:05,00:46:47:17,16,DSMC2 GEMINI 5K S35,REDcode 8:1,96,1.09,Editorial,Standard
A032_C099_0917MD_001.R3D,23.976,5120 x 2700,r3d,pan-colorful-local-fabric-hanging-in-the-wind,"Left to right pan of traditional sarongs hanging on a line in the wind, Bontoh village, Sangeang island, Sumbawa, Indonesia, No Model Release",00:47:06:13,00:47:32:18,16,DSMC2 GEMINI 5K S35,REDcode 8:1,96,1.09,Editorial,Standard
A032_C101_0917C4_001.R3D,23.976,5120 x 2700,r3d,local-villager-carpentar-top-boat-being-built-wide-,"A carpenter stands atop a local boat being built, Bontoh village, Sangeang island, Sumbawa, Indonesia, No Model Release",00:48:52:15,00:49:11:01,16,DSMC2 GEMINI 5K S35,REDcode 8:1,96,1.09,Editorial,Standard
A032_C105_0917PS_001.R3D,23.976,5120 x 2700,r3d,villager-local-traditional-boat-indonesia-walking-away,"Local man walks away from his small boat across the beach to the village, Bontoh village, Sangeang island, Sumbawa, Indonesia, No Model Release",00:56:29:03,00:57:23:09,16,DSMC2 GEMINI 5K S35,REDcode 8:1,96,1.09,Editorial,Standard
A032_C101_0917C4_001.R3D,23.976,5120 x 2700,r3d,local-villager-carpentar-top-ofboat-being-built-mid,"Close up of a carpenter standing atop a boat being built, Bontoh village, Sangeang island, Sumbawa, Indonesia, No Model Release",00:49:30:00,00:49:48:11,16,DSMC2 GEMINI 5K S35,REDcode 8:1,96,1.09,Editorial,Standard
A032_C103_0917EB_001.R3D,23.976,5120 x 2700,r3d,goat-resting-by-shipyard-local-village,"A black goat rest atop wooden boards, Bontoh village, Sangeang island, Sumbawa, Indonesia",00:49:42:19,00:49:59:20,16,DSMC2 GEMINI 5K S35,REDcode 8:1,96,1.09,Commercial,Standard
A032_C105_0917PS_001.R3D,23.976,5120 x 2700,r3d,villager-local-traditional-boat-indonesia,"Village man pushing his small wooden boat to sea, Bontoh village, Sangeang island, Sumbawa, Indonesia, No Model Release",00:56:11:04,00:56:29:04,16,DSMC2 GEMINI 5K S35,REDcode 8:1,96,1.09,Editorial,Standard
A032_C104_09176D_001.R3D,23.976,5120 x 2700,r3d,boat-being-built-from-below-up,"The hull of a wooden fishing boat being built, Bontoh village, Sangeang island, Sumbawa, Indonesia, No Model Release",00:54:33:10,00:55:04:20,16,DSMC2 GEMINI 5K S35,REDcode 8:1,96,1.09,Editorial,Standard
