File Name,Clip Directory,Duration TC,Shot Frame Rate,Audio Channels,Resolution,Video Codec,Title,Description,Location,Pricing Tier,License Type,Type,Reel Number,Start TC,End TC,Start Frame,End Frame,Frames,Bit Depth,Field Dominance,Data Level,Date Modified,EDL Clip Name,Camera Type,Camera Serial #,Camera ID,Camera Format,Camera FPS,Shutter Angle,ISO,White Point (Kelvin),Sensor,Camera Firmware,Lens Type,Camera Aperture,Focal Point (mm),Distance,Aspect Ratio Notes,H-Flip,V-Flip,,,
A005_A083_0414RW_001.R3D,/Volumes/Drobo 2019/RED/RED_SHOOTS/CI/CENDRAWASIH/SSD2/Cenderwasih_CI/RED/CoralsKalilemon_forest_kalilemon/Underwater_Kalilemon Trimmed/A005_A083_0414RW.RDC,00:00:17:00,25.000,0,4608 x 2412,r3d,Hard Coral Reef and Boring Giant Clams,"Camera pushes forward over boring giant clams, Tridacna crocea, embedded in a field of acropora branching corals, Cendrawasih Bay, Central Papua, Indonesia, Pacific Ocean",Cendrawasih Bay,standard,commercial,Underwater,20210414 031217,5,03:12:17:16,03:12:34:16,0,424,425,16,Progressive,Auto,Tue Apr 20 14:13:41 2021,A005_A083_0414RW_001.R3D,DSMC2 GEMINI 5K S35,130-27C-A4B,A,REDcode 7:1,50,180,800,9000,GEMINI 5K S35,4.01,2,Canon,160,21,329735,191.045,FALSE,FALSE,
A005_A083_0414RW_001.R3D,/Volumes/Drobo 2019/RED/RED_SHOOTS/CI/CENDRAWASIH/SSD2/Cenderwasih_CI/RED/CoralsKalilemon_forest_kalilemon/Underwater_Kalilemon Trimmed/A005_A083_0414RW_S000.RDC,00:00:09:03,25.000,0,4608 x 2412,r3d,Three Giant Clams,"Downward angle looking at three boring giant clams, Tridacna crocea, and and anemone in a coral garden, Cendrawasih Bay, Central Papua, Indonesia, Pacific Ocean",Cendrawasih Bay,standard,commercial,Underwater,20210414 031217,5,03:12:48:13,03:12:57:16,0,227,228,16,Progressive,Auto,Tue Apr 20 14:18:47 2021,A005_A083_0414RW_001.R3D,DSMC2 GEMINI 5K S35,130-27C-A4B,A,REDcode 7:1,50,180,800,9000,GEMINI 5K S35,4.01,2,Canon,160,21,329735,191.045,FALSE,FALSE,
A005_A084_0414R7_001.R3D,/Volumes/Drobo 2019/RED/RED_SHOOTS/CI/CENDRAWASIH/SSD2/Cenderwasih_CI/RED/CoralsKalilemon_forest_kalilemon/Underwater_Kalilemon Trimmed/A005_A084_0414R7.RDC,00:00:24:02,25.000,0,4608 x 2412,r3d,Anemone Fish and Giant Clams on Reef,"A pair of Clarke’s anemone fish, Amphiprion clarkii, and boring giant clams, Tridacna crocea, on a hard coral reef with healthy acropora corals, Cendrawasih Bay, Central Papua, Indonesia, Pacific Ocean",Cendrawasih Bay,standard,commercial,Underwater,20210414 031258,5,03:13:12:04,03:13:36:06,0,601,602,16,Progressive,Auto,Tue Apr 20 14:14:03 2021,A005_A084_0414R7_001.R3D,DSMC2 GEMINI 5K S35,130-27C-A4B,A,REDcode 7:1,50,180,800,9000,GEMINI 5K S35,4.01,2,Canon,160,21,329735,191.045,FALSE,FALSE,
A005_A085_0414JM_001.R3D,/Volumes/Drobo 2019/RED/RED_SHOOTS/CI/CENDRAWASIH/SSD2/Cenderwasih_CI/RED/CoralsKalilemon_forest_kalilemon/Underwater_Kalilemon Trimmed/A005_A085_0414JM.RDC,00:00:40:19,25.000,0,4608 x 2412,r3d,Hard Coral Reef,"Camera pushing forward over a healthy hard coral reef, Cendrawasih Bay, Central Papua, Indonesia, Pacific Ocean",Cendrawasih Bay,standard,commercial,Underwater,20210414 031437,5,03:14:37:06,03:15:18:00,0,1018,1019,16,Progressive,Auto,Tue Apr 20 14:14:36 2021,A005_A085_0414JM_001.R3D,DSMC2 GEMINI 5K S35,130-27C-A4B,A,REDcode 7:1,50,180,800,9000,GEMINI 5K S35,4.01,2,Canon,160,21,329735,191.045,FALSE,FALSE,
A005_A085_0414JM_001.R3D,/Volumes/Drobo 2019/RED/RED_SHOOTS/CI/CENDRAWASIH/SSD2/Cenderwasih_CI/RED/CoralsKalilemon_forest_kalilemon/Underwater_Kalilemon Trimmed/A005_A085_0414JM.RDC,00:00:40:19,25.000,0,4608 x 2412,r3d,Pushing Forward Over Coral Reef,"Camera pushing forward over a healthy hard coral reef, Cendrawasih Bay, Central Papua, Indonesia, Pacific Ocean",Cendrawasih Bay,standard,commercial,Underwater,20210414 031437,5,03:14:37:06,03:15:18:00,0,1018,1019,16,Progressive,Auto,Tue Apr 20 14:14:36 2021,A005_A085_0414JM_001.R3D,DSMC2 GEMINI 5K S35,130-27C-A4B,A,REDcode 7:1,50,180,800,9000,GEMINI 5K S35,4.01,2,Canon,160,21,329735,191.045,FALSE,FALSE,
A005_A086_04140A_001.R3D,/Volumes/Drobo 2019/RED/RED_SHOOTS/CI/CENDRAWASIH/SSD2/Cenderwasih_CI/RED/CoralsKalilemon_forest_kalilemon/Underwater_Kalilemon Trimmed/A005_A086_04140A.RDC,00:00:34:10,25.000,0,4608 x 2412,r3d,School of Yellow Stripe Scad,"A school of yellow stripe scad, Selaroides leptolepis, swimming in a tight group close to the bottom. Cendrawasih Bay, Central Papua, Indonesia, Pacific Ocean",Cendrawasih Bay,standard,commercial,Underwater,20210414 031603,5,03:16:04:02,03:16:38:12,0,859,860,16,Progressive,Auto,Tue Apr 20 14:15:18 2021,A005_A086_04140A_001.R3D,DSMC2 GEMINI 5K S35,130-27C-A4B,A,REDcode 7:1,50,180,800,9000,GEMINI 5K S35,4.01,2,Canon,160,21,329735,191.045,FALSE,FALSE,
A005_A087_0414UX_001.R3D,/Volumes/Drobo 2019/RED/RED_SHOOTS/CI/CENDRAWASIH/SSD2/Cenderwasih_CI/RED/CoralsKalilemon_forest_kalilemon/Underwater_Kalilemon Trimmed/A005_A087_0414UX.RDC,00:00:35:09,25.000,0,4608 x 2412,r3d,Swimming Through a School of Yellow Stripe Scad,"Swimming through a school of yellow stripe scad, Selaroides leptolepis,Cendrawasih Bay, Central Papua, Indonesia, Pacific Ocean",Cendrawasih Bay,standard,commercial,Underwater,20210414 031725,5,03:17:31:03,03:18:06:12,0,883,884,16,Progressive,Auto,Tue Apr 20 14:15:45 2021,A005_A087_0414UX_001.R3D,DSMC2 GEMINI 5K S35,130-27C-A4B,A,REDcode 7:1,50,180,800,9000,GEMINI 5K S35,4.01,2,Canon,160,21,329735,191.045,FALSE,FALSE,
A005_A087_0414UX_001.R3D,/Volumes/Drobo 2019/RED/RED_SHOOTS/CI/CENDRAWASIH/SSD2/Cenderwasih_CI/RED/CoralsKalilemon_forest_kalilemon/Underwater_Kalilemon Trimmed/A005_A087_0414UX.RDC,00:00:35:09,25.000,0,4608 x 2412,r3d,Swimming Through a School of Yellow Stripe Scad,"Swimming through a school of yellow stripe scad, Selaroides leptolepis,Cendrawasih Bay, Central Papua, Indonesia, Pacific Ocean",Cendrawasih Bay,standard,commercial,Underwater,20210414 031725,5,03:17:31:03,03:18:06:12,0,883,884,16,Progressive,Auto,Tue Apr 20 14:15:45 2021,A005_A087_0414UX_001.R3D,DSMC2 GEMINI 5K S35,130-27C-A4B,A,REDcode 7:1,50,180,800,9000,GEMINI 5K S35,4.01,2,Canon,160,21,329735,191.045,FALSE,FALSE,
A005_A087_0414UX_001.R3D,/Volumes/Drobo 2019/RED/RED_SHOOTS/CI/CENDRAWASIH/SSD2/Cenderwasih_CI/RED/CoralsKalilemon_forest_kalilemon/Underwater_Kalilemon Trimmed/A005_A087_0414UX_S000.RDC,00:00:18:14,25.000,0,4608 x 2412,r3d,Swimming Through a School of Yellow Stripe Scad,"Swimming through a school of yellow stripe scad, Selaroides leptolepis,Cendrawasih Bay, Central Papua, Indonesia, Pacific Ocean",Cendrawasih Bay,standard,commercial,Underwater,20210414 031725,5,03:18:16:18,03:18:35:07,0,463,464,16,Progressive,Auto,Tue Apr 20 14:19:03 2021,A005_A087_0414UX_001.R3D,DSMC2 GEMINI 5K S35,130-27C-A4B,A,REDcode 7:1,50,180,800,9000,GEMINI 5K S35,4.01,2,Canon,160,21,329735,191.045,FALSE,FALSE,
A005_A088_041476_001.R3D,/Volumes/Drobo 2019/RED/RED_SHOOTS/CI/CENDRAWASIH/SSD2/Cenderwasih_CI/RED/CoralsKalilemon_forest_kalilemon/Underwater_Kalilemon Trimmed/A005_A088_041476.RDC,00:00:44:08,25.000,0,4608 x 2412,r3d,A School of Yellow Scad Split Past the Camera,"A school of yellow stripe scad splits past the camera, Selaroides leptolepis,Cendrawasih Bay, Central Papua, Indonesia, Pacific Ocean",Cendrawasih Bay,standard,commercial,Underwater,20210414 032007,5,03:20:22:13,03:21:06:21,0,1107,1108,16,Progressive,Auto,Tue Apr 20 14:16:22 2021,A005_A088_041476_001.R3D,DSMC2 GEMINI 5K S35,130-27C-A4B,A,REDcode 7:1,50,180,800,9000,GEMINI 5K S35,4.01,2,Canon,160,21,329735,191.045,FALSE,FALSE,
A005_A088_041476_001.R3D,/Volumes/Drobo 2019/RED/RED_SHOOTS/CI/CENDRAWASIH/SSD2/Cenderwasih_CI/RED/CoralsKalilemon_forest_kalilemon/Underwater_Kalilemon Trimmed/A005_A088_041476.RDC,00:00:44:08,25.000,0,4608 x 2412,r3d,A School of Yellow Scad Swim Past the Camera,"A school of yellow stripe scad swim past the camera, Selaroides leptolepis,Cendrawasih Bay, Central Papua, Indonesia, Pacific Ocean",Cendrawasih Bay,standard,commercial,Underwater,20210414 032007,5,03:20:22:13,03:21:06:21,0,1107,1108,16,Progressive,Auto,Tue Apr 20 14:16:22 2021,A005_A088_041476_001.R3D,DSMC2 GEMINI 5K S35,130-27C-A4B,A,REDcode 7:1,50,180,800,9000,GEMINI 5K S35,4.01,2,Canon,160,21,329735,191.045,FALSE,FALSE,
A005_A088_041476_001.R3D,/Volumes/Drobo 2019/RED/RED_SHOOTS/CI/CENDRAWASIH/SSD2/Cenderwasih_CI/RED/CoralsKalilemon_forest_kalilemon/Underwater_Kalilemon Trimmed/A005_A088_041476_S000.RDC,00:00:08:07,25.000,0,4608 x 2412,r3d,A School of Yellow Scad Swim Past the Camera,"A school of yellow stripe scad swim past the camera, Selaroides leptolepis,Cendrawasih Bay, Central Papua, Indonesia, Pacific Ocean",Cendrawasih Bay,standard,commercial,Underwater,20210414 032007,5,03:21:17:06,03:21:25:13,0,206,207,16,Progressive,Auto,Tue Apr 20 14:19:09 2021,A005_A088_041476_001.R3D,DSMC2 GEMINI 5K S35,130-27C-A4B,A,REDcode 7:1,50,180,800,9000,GEMINI 5K S35,4.01,2,Canon,160,21,329735,191.045,FALSE,FALSE,
A005_A090_0414FY_001.R3D,/Volumes/Drobo 2019/RED/RED_SHOOTS/CI/CENDRAWASIH/SSD2/Cenderwasih_CI/RED/CoralsKalilemon_forest_kalilemon/Underwater_Kalilemon Trimmed/A005_A090_0414FY.RDC,00:00:14:21,25.000,0,4608 x 2412,r3d,A School of Yellow Strip Scad Over a Coral Reef,"A school of yellow stripe scad swim over a hard coral reef, Selaroides leptolepis,Cendrawasih Bay, Central Papua, Indonesia, Pacific Ocean",Cendrawasih Bay,standard,commercial,Underwater,20210414 032204,5,03:22:07:08,03:22:22:04,0,370,371,16,Progressive,Auto,Tue Apr 20 14:16:45 2021,A005_A090_0414FY_001.R3D,DSMC2 GEMINI 5K S35,130-27C-A4B,A,REDcode 7:1,50,180,800,9000,GEMINI 5K S35,4.01,2,Canon,160,35,329735,191.045,FALSE,FALSE,
A005_A092_04141G_001.R3D,/Volumes/Drobo 2019/RED/RED_SHOOTS/CI/CENDRAWASIH/SSD2/Cenderwasih_CI/RED/CoralsKalilemon_forest_kalilemon/Underwater_Kalilemon Trimmed/A005_A092_04141G.RDC,00:00:07:08,25.000,0,4608 x 2412,r3d,Indo Pacific Giant Sponges ,"Camera moves up while looking down at Indo Pacific Giant Sponges, Xestospongia testudinaria, Cendrawasih Bay, Central Papua, Indonesia, Pacific Ocean",Cendrawasih Bay,standard,commercial,Underwater,20210414 032330,5,03:23:33:15,03:23:40:23,0,182,183,16,Progressive,Auto,Tue Apr 20 14:17:02 2021,A005_A092_04141G_001.R3D,DSMC2 GEMINI 5K S35,130-27C-A4B,A,REDcode 7:1,50,180,800,9000,GEMINI 5K S35,4.01,2,Canon,160,21,329735,191.045,FALSE,FALSE,
A005_A093_0414KI_001.R3D,/Volumes/Drobo 2019/RED/RED_SHOOTS/CI/CENDRAWASIH/SSD2/Cenderwasih_CI/RED/CoralsKalilemon_forest_kalilemon/Underwater_Kalilemon Trimmed/A005_A093_0414KI.RDC,00:00:31:06,25.000,0,4608 x 2412,r3d,Healthy Hard Coral Reef,"Camera tracking forward over a healthy hard coral reef, Cendrawasih Bay, Central Papua, Indonesia, Pacific Ocean",Cendrawasih Bay,standard,commercial,Underwater,20210414 032415,5,03:24:17:15,03:24:48:21,0,780,781,16,Progressive,Auto,Tue Apr 20 14:17:27 2021,A005_A093_0414KI_001.R3D,DSMC2 GEMINI 5K S35,130-27C-A4B,A,REDcode 7:1,50,180,800,9000,GEMINI 5K S35,4.01,2,Canon,160,21,329735,191.045,FALSE,FALSE,
A005_A094_041455_001.R3D,/Volumes/Drobo 2019/RED/RED_SHOOTS/CI/CENDRAWASIH/SSD2/Cenderwasih_CI/RED/CoralsKalilemon_forest_kalilemon/Underwater_Kalilemon Trimmed/A005_A094_041455.RDC,00:00:20:24,25.000,0,4608 x 2412,r3d,Sunlight Reflecting Off White Sand,"Dappled sunlight reflecting off of white sand in the shallows of Cendrawasih Bay, Central Papua, Indonesia, Pacific Ocean",Cendrawasih Bay,standard,commercial,Underwater,20210414 032900,5,03:29:13:24,03:29:34:23,0,523,524,16,Progressive,Auto,Tue Apr 20 14:17:44 2021,A005_A094_041455_001.R3D,DSMC2 GEMINI 5K S35,130-27C-A4B,A,REDcode 7:1,50,180,250,5600,GEMINI 5K S35,4.01,2,Canon,160,20,329735,191.045,FALSE,FALSE,
